,tweet_id,created_at,user_id,retweeted_status_id,retweeted_user_id,credibility_score
188,1340581492808925184,2020-12-20 08:55:09+00:00,1013376320481517569,1340427316573462530,1063806444380798976,95.0
192,1340582011195576321,2020-12-20 08:57:12+00:00,784716544475537412,1340427316573462530,1063806444380798976,95.0
193,1340582218377420800,2020-12-20 08:58:02+00:00,319537863,1340427316573462530,1063806444380798976,95.0
194,1340583673729576960,2020-12-20 09:03:49+00:00,1089107530247221249,1340427316573462530,1063806444380798976,95.0
198,1340585868252372994,2020-12-20 09:12:32+00:00,588434195,1340324106487656449,726721856749842436,5.0
204,1340588294279716864,2020-12-20 09:22:10+00:00,777845439148224512,1340427316573462530,1063806444380798976,95.0
206,1340588516271673344,2020-12-20 09:23:03+00:00,3888819677,1340395574340796417,2806038415,77.5
208,1340589463840444416,2020-12-20 09:26:49+00:00,1016249336903159808,1340427316573462530,1063806444380798976,95.0
217,1340591409729064960,2020-12-20 09:34:33+00:00,547936685,1340591057231343616,781169072604151809,92.5
219,1340591929281683456,2020-12-20 09:36:37+00:00,1112397484058427393,1340590800720281601,1050141832758341632,7.5
221,1340591964673044481,2020-12-20 09:36:46+00:00,1337250006,1340401356205645824,764345623,90.0
223,1340592295486382081,2020-12-20 09:38:04+00:00,127302531,1340591057231343616,781169072604151809,92.5
225,1340592980214902785,2020-12-20 09:40:48+00:00,796637487204536320,1340427316573462530,1063806444380798976,95.0
227,1340593397111918592,2020-12-20 09:42:27+00:00,2879971325,1340426688941993990,331617619,82.5
235,1340595041191026689,2020-12-20 09:48:59+00:00,1026457428,1340593989301493768,2182945495,64.5
239,1340595570759659521,2020-12-20 09:51:05+00:00,1332634773773279233,1340428826694852609,372937945,5.0
240,1340596093017600001,2020-12-20 09:53:10+00:00,3368018859,1340427316573462530,1063806444380798976,95.0
241,1340596109484429313,2020-12-20 09:53:14+00:00,4160203479,1340427316573462530,1063806444380798976,95.0
246,1340597729815347204,2020-12-20 09:59:40+00:00,512377689,1340426688941993990,331617619,82.5
247,1340597936464547842,2020-12-20 10:00:29+00:00,1033993296203472896,1340593989301493768,2182945495,64.5
250,1340599738840788992,2020-12-20 10:07:39+00:00,121756913,1340360451444666368,1015661811700510724,80.0
252,1340600285492899842,2020-12-20 10:09:49+00:00,372114824,1340360451444666368,1015661811700510724,80.0
255,1340601226862469121,2020-12-20 10:13:34+00:00,1242489558647877634,1340427316573462530,1063806444380798976,95.0
257,1340601794565726209,2020-12-20 10:15:49+00:00,389104963,1340601550901800960,102107370,75.0
260,1340602999425671169,2020-12-20 10:20:36+00:00,1267051411944202240,1340427316573462530,1063806444380798976,95.0
263,1340603432261042177,2020-12-20 10:22:20+00:00,1050393979777441792,1340324106487656449,726721856749842436,5.0
264,1340603540356681728,2020-12-20 10:22:45+00:00,711830999227899906,1340427316573462530,1063806444380798976,95.0
265,1340603999540678656,2020-12-20 10:24:35+00:00,2502131693,1340551818074599424,975616683611181057,5.0
266,1340604242508345345,2020-12-20 10:25:33+00:00,1033993296203472896,1336325219733016585,2182945495,25.0
267,1340604839672340480,2020-12-20 10:27:55+00:00,1033993296203472896,1336023733841125377,2182945495,57.0
271,1340606283175620608,2020-12-20 10:33:39+00:00,862970692958138368,1340600922553106432,1322629376421355521,5.0
277,1340606717806202881,2020-12-20 10:35:23+00:00,555300363,1340606630145253376,1683455144,5.0
278,1340606757261991938,2020-12-20 10:35:32+00:00,555300363,1340606307125121024,78567974,82.5
279,1340606799750295556,2020-12-20 10:35:42+00:00,1401911906,1340600922553106432,1322629376421355521,5.0
280,1340606909557207041,2020-12-20 10:36:09+00:00,3421011273,1340593989301493768,2182945495,64.5
281,1340607314508853248,2020-12-20 10:37:45+00:00,1012818918,1340606307125121024,78567974,82.5
282,1340607347765469184,2020-12-20 10:37:53+00:00,2387298926,1340427316573462530,1063806444380798976,95.0
285,1340607960070938624,2020-12-20 10:40:19+00:00,764056964821348353,1340606630145253376,1683455144,5.0
286,1340608093655363590,2020-12-20 10:40:51+00:00,1195965862458642432,1340600922553106432,1322629376421355521,5.0
288,1340608957828755457,2020-12-20 10:44:17+00:00,432637066,1340607402668863489,3426504598,82.5
290,1340609227459604481,2020-12-20 10:45:21+00:00,1290588940731326465,1340606307125121024,78567974,82.5
293,1340609371823370240,2020-12-20 10:45:56+00:00,320603385,1340609256333127682,52424550,82.5
295,1340609928969510912,2020-12-20 10:48:09+00:00,711830999227899906,1340550827497418752,975616683611181057,5.0
297,1340611098261811201,2020-12-20 10:52:47+00:00,1117098650,1340606630145253376,1683455144,5.0
298,1340611130604007425,2020-12-20 10:52:55+00:00,884964986,1340600922553106432,1322629376421355521,5.0
302,1340612233152348160,2020-12-20 10:57:18+00:00,1320296479437836288,1340324106487656449,726721856749842436,5.0
306,1340613110567153665,2020-12-20 11:00:47+00:00,2971373548,1340606307125121024,78567974,82.5
309,1340615346437451777,2020-12-20 11:09:40+00:00,1315234951927869441,1340428826694852609,372937945,5.0
315,1340618915731390465,2020-12-20 11:23:51+00:00,393540117,1340609256333127682,52424550,82.5
322,1340620670737235968,2020-12-20 11:30:50+00:00,1220332021026885632,1340427316573462530,1063806444380798976,95.0
324,1340620891290554369,2020-12-20 11:31:42+00:00,1263019585898512384,1340606630145253376,1683455144,5.0
327,1340621889857855492,2020-12-20 11:35:40+00:00,1380125660,1340360451444666368,1015661811700510724,80.0
332,1340624671457292289,2020-12-20 11:46:43+00:00,161649422,1340606630145253376,1683455144,5.0
336,1340625207132901376,2020-12-20 11:48:51+00:00,889057141,1340238706079379463,849274159,95.0
337,1340625341077983232,2020-12-20 11:49:23+00:00,881039666035675137,1340625204922474497,472817547,62.0
338,1340626505681031170,2020-12-20 11:54:01+00:00,1336788497110355971,1340625204922474497,472817547,62.0
339,1340626633842159617,2020-12-20 11:54:31+00:00,1370300701,1340620303710515200,824215230846791680,95.0
340,1340626926021595136,2020-12-20 11:55:41+00:00,383639966,1340426688941993990,331617619,82.5
344,1340627762449625089,2020-12-20 11:59:00+00:00,1073357067577110528,1340426688941993990,331617619,82.5
348,1340630185515896832,2020-12-20 12:08:38+00:00,1194564478832185344,1340628273970237440,1072167411984551936,100.0
354,1340631255537373184,2020-12-20 12:12:53+00:00,228879550,1340630803538206721,1032615842,5.0
356,1340631500207890434,2020-12-20 12:13:52+00:00,1180638921946025985,1340630803538206721,1032615842,5.0
357,1340631729766326272,2020-12-20 12:14:46+00:00,1338614814,1340427316573462530,1063806444380798976,95.0
358,1340631846200197120,2020-12-20 12:15:14+00:00,1032615842,1340630803538206721,1032615842,5.0
359,1340632119052279809,2020-12-20 12:16:19+00:00,496948669,1340630803538206721,1032615842,5.0
360,1340633253259128833,2020-12-20 12:20:49+00:00,2726727548,1336621664109535233,1369005530,5.0
361,1340633354316763137,2020-12-20 12:21:14+00:00,2252899982,1340427316573462530,1063806444380798976,95.0
362,1340633847940194304,2020-12-20 12:23:11+00:00,2535751839,1340630803538206721,1032615842,5.0
366,1340635176385298432,2020-12-20 12:28:28+00:00,1476948512,1340593989301493768,2182945495,64.5
370,1340635981700018178,2020-12-20 12:31:40+00:00,229160327,1340600922553106432,1322629376421355521,5.0
372,1340636487466016769,2020-12-20 12:33:41+00:00,1052861531736674304,1340630803538206721,1032615842,5.0
